Gene ID	source_id	Product Description	Gene Name or Symbol	Ortholog count	Paralog count	Tet- Cont (CDS only)	BFd3 (CDS only)	BFd6 (CDS only)	PF (CDS only)	BFd3/Tet- (CDS only)	BFd6/Tet- (CDS only)	PF/Tet- (CDS only)	Tet- Cont (CDS+UTR)	BFd3 (CDS+UTR)	BFd6 (CDS+UTR)	PF (CDS+UTR)	BFd3/Tet- (CDS+UTR)	BFd6/Tet- (CDS+UTR)	PF/Tet- (CDS+UTR)	Organism	# Exons in Gene	# Exons in Transcript	# Transcripts	Annotated 3' UTR length	Annotated 5' UTR length	Gene Strand	Gene Type	Is Pseudo	Transcript Length	Apollo Product Description	Deprecated?	Previous ID(s)	Transcript Product Description
LdBPK_010050.1	LdBPK_010050.1.1	carboxylase, putative	N/A	113	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leishmania donovani BPK282A1	1	1	1	N/A	N/A	reverse	protein coding gene	No	1998	None	No	N/A	carboxylase, putative
LdBPK_010150.1	LdBPK_010150.1.1	hypothetical protein, conserved	N/A	69	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leishmania donovani BPK282A1	1	1	1	N/A	N/A	reverse	protein coding gene	No	351	None	No	N/A	hypothetical protein, conserved
LdBPK_010270.1	LdBPK_010270.1.1	thioredoxin, putative	N/A	151	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leishmania donovani BPK282A1	1	1	1	N/A	N/A	reverse	protein coding gene	No	324	None	No	N/A	thioredoxin, putative
LdBPK_010280.1	LdBPK_010280.1.1	pseudouridylate synthase-like protein	N/A	68	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leishmania donovani BPK282A1	1	1	1	N/A	N/A	reverse	protein coding gene	No	1242	None	No	N/A	pseudouridylate synthase-like protein
LdBPK_010290.1	LdBPK_010290.1.1	hypothetical protein, conserved	N/A	64	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leishmania donovani BPK282A1	1	1	1	N/A	N/A	reverse	protein coding gene	No	519	None	No	N/A	hypothetical protein, conserved
LdBPK_010330.1	LdBPK_010330.1.1	poly(A) export protein, putative	N/A	65	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leishmania donovani BPK282A1	1	1	1	N/A	N/A	forward	protein coding gene	No	924	None	No	N/A	poly(A) export protein, putative
LdBPK_010350.1	LdBPK_010350.1.1	Mitochondrial pyruvate carrier 1	MPC1	55	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leishmania donovani BPK282A1	1	1	1	N/A	N/A	forward	protein coding gene	No	294	None	No	N/A	Mitochondrial pyruvate carrier 1
LdBPK_010440.1	LdBPK_010440.1.1	ribosomal protein S7, putative	N/A	114	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leishmania donovani BPK282A1	1	1	1	N/A	N/A	forward	protein coding gene	No	603	None	No	N/A	ribosomal protein S7, putative
LdBPK_010610.1	LdBPK_010610.1.1	mitochondrial RNA editing ligase 1	N/A	67	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leishmania donovani BPK282A1	1	1	1	N/A	N/A	forward	protein coding gene	No	1275	None	No	N/A	mitochondrial RNA editing ligase 1
LdBPK_010670.1	LdBPK_010670.1.1	mitochondrial-processing peptidase subunit beta, putative	MPPB	67	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leishmania donovani BPK282A1	1	1	1	N/A	N/A	forward	protein coding gene	No	1485	None	No	N/A	mitochondrial-processing peptidase subunit beta, putative
LdBPK_010790.1	LdBPK_010790.1.1	Eukaryotic initiation factor 4A-1	EIF4A1	87	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leishmania donovani BPK282A1	1	1	1	N/A	N/A	forward	protein coding gene	No	1212	None	No	N/A	Eukaryotic initiation factor 4A-1
LdBPK_020240.1	LdBPK_020240.1.1	hypothetical protein, conserved	N/A	61	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leishmania donovani BPK282A1	1	1	1	N/A	N/A	reverse	protein coding gene	No	195	None	No	N/A	hypothetical protein, conserved
