Ldon gene	Lbraz gene	% identity	length	mismatch
LdBPK_090970.1	LBRM2903_090015300	100	149	0
LdBPK_090980.1	LBRM2903_090015300	100	149	0
LdBPK_110970.1	LBRM2903_110013300	100	47	0
LdBPK_111180.1	LBRM2903_110016700	100	130	0
LdBPK_181380.1	LBRM2903_180020500	100	40	0
LdBPK_191660.1	LBRM2903_190025900	100	120	0
LdBPK_212190.1	LBRM2903_350027700	100	92	0
LdBPK_242170.1	LBRM2903_240029200	100	66	0
LdBPK_291920.1	LBRM2903_110016700	100	130	0
LdBPK_292570.1	LBRM2903_290031200	100	66	0
LdBPK_292580.1	LBRM2903_290031200	100	62	0
LdBPK_323940.1	LBRM2903_320049900	100	99	0
LdBPK_341880.1	LBRM2903_200026700	100	79	0
LdBPK_344150.1	LBRM2903_200054000	100	49	0
LdBPK_361130.1	LBRM2903_350017800	100	19	0
LdBPK_362020.1	LBRM2903_350027700	100	92	0
LdBPK_250990.1	LBRM2903_250017300	99.6	447	2
LdBPK_221040.1	LBRM2903_220016800	99.4	163	1
LdBPK_130330.1	LBRM2903_130007500	99.3	451	3
LdBPK_211320.1	LBRM2903_210017800	99.3	301	2
LdBPK_333300.1	LBRM2903_190011700	99.3	151	1
LdBPK_353840.1	LBRM2903_340047200	99.3	139	1
LdBPK_350190.1	LBRM2903_340007300	99.2	239	2
LdBPK_353990.1	LBRM2903_340048700	99.2	604	5
LdBPK_090030.1	LBRM2903_090005200	99.1	107	1
LdBPK_131410.1	LBRM2903_330043800	99.1	106	1
LdBPK_251460.1	LBRM2903_250023400	99.1	216	2
LdBPK_330960.1	LBRM2903_150013900	99.1	219	2
LdBPK_333380.1	LBRM2903_330043800	99.1	106	1
LdBPK_044260.1	LBRM2903_200053700	99.1	111	1
LdBPK_280730.1	LBRM2903_280012600	99	301	3
LdBPK_303710.1	LBRM2903_300044200	99	204	2
LdBPK_323230.1	LBRM2903_320041300	99	308	3
LdBPK_342730.1	LBRM2903_320042200	99	98	1
LdBPK_350100.1	LBRM2903_340006400	99	201	2
LdBPK_350370.1	LBRM2903_340009000	99	405	4
LdBPK_351440.1	LBRM2903_320051200	99	104	1
LdBPK_351450.1	LBRM2903_320051200	99	97	1
LdBPK_351890.1	LBRM2903_300044200	99	204	2
LdBPK_130990.1	LBRM2903_130015000	98.9	438	5
LdBPK_220004.1	LBRM2903_040010200	98.9	188	2
LdBPK_261610.1	LBRM2903_260022200	98.9	87	1
LdBPK_261620.1	LBRM2903_260022200	98.9	87	1
